name,draft_year,sportsref_player_raw,sportsref_url,sportsref_match_method,sportsref_match_score,sportsref_school,sportsref_conf,sportsref_season,sportsref_games,sportsref_games_started,sportsref_mpg,sportsref_ppg,sportsref_rpg,sportsref_apg,sportsref_spg,sportsref_bpg,sportsref_tpg,sportsref_fg_pct,sportsref_two_pct,sportsref_three_pct,sportsref_ft_pct
josh boone,2006,josh boone,https://www.sports-reference.com/cbb/players/josh-boone-1.html,slug_search,100.0,UConn,Big East,2005-06,34.0,32.0,27.1,10.3,7.0,0.6,0.4,2.0,1.2,0.564,0.564,,0.547
kyle lowry,2006,kyle lowry,https://www.sports-reference.com/cbb/players/kyle-lowry-1.html,slug_search,100.0,Villanova,Big East,2005-06,33.0,31.0,29.3,11.0,4.3,3.7,2.3,0.2,2.1,0.466,0.468,0.444,0.786
lamarcus aldridge,2006,lamarcus aldridge,https://www.sports-reference.com/cbb/players/lamarcus-aldridge-1.html,slug_search,100.0,Texas,Big 12,2005-06,37.0,37.0,33.7,15.0,9.2,0.5,1.4,2.0,1.6,0.569,0.569,,0.646
leon powe,2006,leon powe,https://www.sports-reference.com/cbb/players/leon-powe-1.html,slug_search,100.0,Cal,Pac-10,2005-06,27.0,27.0,35.3,20.5,10.1,1.4,0.9,0.6,2.4,0.496,0.5,0.333,0.719
marcus williams,2006,marcus williams,https://www.sports-reference.com/cbb/players/marcus-williams-1.html,slug_search,100.0,UConn,Big East,2005-06,23.0,20.0,33.3,12.3,3.9,8.6,0.9,0.2,3.7,0.407,0.41,0.4,0.862
mardy collins,2006,mardy collins,https://www.sports-reference.com/cbb/players/mardy-collins-1.html,slug_search,100.0,Temple,A-10,2005-06,32.0,32.0,37.9,16.8,4.7,4.0,2.8,0.2,2.0,0.432,0.483,0.307,0.596
maurice ager,2006,maurice ager,https://www.sports-reference.com/cbb/players/maurice-ager-1.html,slug_search,100.0,Michigan St.,Big Ten,2005-06,34.0,34.0,34.4,19.3,4.1,2.5,0.7,0.3,2.6,0.457,0.522,0.376,0.761
p j tucker,2006,p j tucker,https://www.sports-reference.com/cbb/players/pj-tucker-1.html,slug_search,100.0,Texas,Big 12,2005-06,37.0,37.0,34.5,16.1,9.5,2.9,1.8,0.4,3.1,0.515,0.514,0.667,0.747
patrick o bryant,2006,patrick o bryant,https://www.sports-reference.com/cbb/players/patrick-obryant-1.html,slug_search,100.0,Bradley,MVC,2005-06,25.0,21.0,25.7,13.4,8.3,0.8,0.9,2.9,2.1,0.552,0.552,,0.676
paul davis,2006,paul davis,https://www.sports-reference.com/cbb/players/paul-davis-1.html,slug_search,100.0,Michigan St.,Big Ten,2005-06,33.0,33.0,30.8,17.5,9.1,1.6,1.0,0.9,2.5,0.566,0.58,0.316,0.87
